Channel,imaqtpie,Reckful,RatedEpicz,LIRIK,Nightblue3,nl_Kripp,Meteos,sneakylol,Doublelift,Amaz,IzakOOO,SilverName,Castro_1021,TimTheTatman,YoDa,CohhCarnage,hanryang1125,Dyrus
Language,English,English,English,English,English,English,English,English,English,English,Polish,Russian,English,English,Portuguese,English,Korean,English
2017-01-29,89332,0,0,199231,53106,85527,0,0,0,0,56223,0,0,52389,72682,64365,57469,29959
2017-01-30,240255,0,0,382793,69924,118111,5548,56635,65988,75083,41735,92847,54178,43497,103021,103469,45478,48561
2017-01-31,262668,0,0,382812,116418,113139,7064,86582,190588,69388,80462,94177,44767,91058,0,181817,65222,54516
2017-02-01,330300,0,0,168287,69807,96018,2807,19857,174455,48124,68699,70952,53168,96987,0,151237,62761,87918
2017-02-02,257832,0,0,0,59453,107108,6695,69827,165482,47442,46652,51462,43716,100306,12993,131239,95052,55854
2017-02-03,0,0,0,230850,0,114573,3217,61215,122938,42703,31812,0,111027,60187,149458,85347,0,30036
2017-02-04,107836,0,0,164685,48059,70930,0,60752,45667,0,32194,0,99152,47530,0,87924,56531,26884
2017-02-05,173132,0,0,217639,66037,88909,0,0,0,0,18269,0,0,48498,0,75185,57060,56169
2017-02-06,256133,0,0,206112,44385,111224,4433,70809,62031,76888,78608,85452,89500,38156,0,83742,58814,67927
2017-02-07,236296,0,0,218837,67551,99800,6510,40001,215258,51517,58888,105168,85383,98926,0,95872,47606,52280
2017-02-08,168321,0,0,208578,29872,91990,0,70599,221720,36766,12325,61239,82145,105201,0,65618,51971,73804
2017-02-09,233897,39017,0,2130,0,100731,0,54942,177356,66879,0,66007,77077,111674,19221,48693,75343,61605
2017-02-10,0,19252,0,181079,59524,69783,0,55091,145987,44544,12672,73214,84639,102110,93396,46698,73240,35905
2017-02-11,137128,31592,0,157921,0,93040,0,0,0,0,35107,40434,59148,55850,0,55674,80407,24565
2017-02-12,168956,0,0,219895,97268,101864,14274,60259,87472,0,50941,62793,82186,46111,0,50711,61468,21779
2017-02-13,238070,36003,0,168381,39202,117310,0,0,58009,75168,1656,59496,50989,35841,13366,63153,64225,100817
2017-02-14,192266,12252,0,190844,86393,105366,0,108048,177953,62425,0,67471,0,98143,89468,53139,57188,65337
2017-02-15,252330,4473,0,151061,62526,102319,0,77491,189658,57266,30632,32663,61865,85220,0,52637,53113,57105
2017-02-16,193741,0,0,4325,43841,97186,0,52004,154551,56316,1639,57439,48618,89412,5156,55196,51093,56978
2017-02-17,168460,2637,0,131901,0,72800,0,56048,107674,64815,0,0,69106,142418,32261,43119,0,25906
2017-02-18,0,0,0,149853,81830,108251,0,25541,95765,0,0,43995,37434,0,0,57595,24228,6472
2017-02-19,184613,3410,0,191575,45240,103599,0,0,0,0,0,0,0,0,0,58232,0,106805
2017-02-20,287198,0,0,201192,42217,65485,0,58297,44142,79852,0,0,52133,0,0,38717,51107,171568
2017-02-21,314459,0,0,184244,0,116029,8673,97812,189545,63582,0,67270,53988,42435,0,42060,0,52773
2017-02-22,162755,0,0,169829,45730,79366,0,61418,197423,66648,61589,72465,46720,142412,35290,39233,48651,43468
2017-02-23,232104,0,0,0,33963,39881,0,59959,143255,86239,42298,56545,52348,32848,99369,57403,46955,72257
2017-02-24,0,0,0,235976,0,55087,0,64523,105691,73738,27707,77826,57064,46285,117207,63174,50946,34323
2017-02-25,175647,0,0,258092,51946,51588,0,56741,94865,0,0,0,73397,46297,49807,52699,55535,44414
2017-02-26,105296,0,0,226330,55804,81555,12969,0,45361,0,36774,85516,6712,41005,89088,56631,65445,152054
2017-02-27,193206,0,0,310926,5943,105550,21590,90884,37909,87680,30709,51174,41837,26163,0,200823,74412,159910
2017-02-28,201667,0,0,273804,0,91687,0,80164,173484,24898,46707,75375,38199,80583,0,0,47990,50501
2017-03-01,196453,0,0,225546,65828,108435,0,60463,139395,103621,37110,0,34920,137389,0,65988,47636,61449
2017-03-02,185729,2260,0,0,43492,68250,0,28641,88104,55870,0,67334,0,93035,0,74635,50353,43746
2017-03-03,0,0,0,251007,58767,97442,0,57516,118435,55335,0,64340,41147,68494,0,11338,0,51762
2017-03-04,115631,0,0,365578,0,66695,0,35991,35456,0,0,0,46118,47867,0,46268,0,24194
2017-03-05,161552,0,0,399977,51823,105833,0,0,0,0,0,87889,0,32173,35472,57231,0,32506
2017-03-06,208598,0,0,217760,47629,106978,0,51122,35658,68299,26816,0,32573,37174,75490,80056,53103,58830
2017-03-07,219921,0,0,197517,38387,75311,0,41403,45012,76277,42015,67823,31443,93886,0,62756,53649,42111
2017-03-08,210757,0,0,178623,49908,88070,0,28757,83227,145595,34039,68148,31523,85524,0,57095,51508,50316
2017-03-09,208227,0,0,0,21726,52389,0,46482,0,117262,39605,121988,56362,104997,0,47204,58027,136833
2017-03-10,0,0,0,0,0,82693,0,59743,0,46204,0,0,73394,67196,0,54230,0,104581
2017-03-11,142728,0,0,173505,74289,97217,0,0,0,0,63427,62585,47535,59738,0,55213,42900,8344
2017-03-12,170049,0,0,229542,0,120230,0,47070,0,0,13699,84632,0,43688,0,53048,53014,41892
2017-03-13,211864,0,0,221256,59803,87900,20152,107078,36205,88200,33341,46205,37558,41678,104260,43488,47833,80120
2017-03-14,198327,0,0,191699,59801,108611,0,92820,57191,82214,30306,66912,31277,103652,0,42395,50035,22614
2017-03-15,192547,0,0,193523,27703,97740,0,48505,0,73142,36137,58437,37780,95590,0,80778,53714,57708
2017-03-16,149342,0,0,0,27604,59366,0,29707,10405,74423,48385,34580,54156,173720,83778,79352,43887,69613
2017-03-17,150629,7812,0,168839,0,103676,0,38162,0,83827,33906,42193,28933,0,43071,57759,0,45466
2017-03-18,129713,0,0,201278,34586,45360,0,39650,0,0,11720,34299,33577,26144,0,45714,50550,23832
2017-03-19,163240,0,0,224556,67876,65065,0,0,0,0,0,0,0,50225,0,36373,89766,44738
2017-03-20,171074,0,0,207257,25754,75792,0,0,48490,21948,35207,40079,40285,22482,0,113215,63445,76583
2017-03-21,164236,0,0,164281,0,79041,40529,42186,61525,29713,244,50958,0,90785,0,93372,63743,43912
2017-03-22,158470,0,0,159598,47116,83628,2344,36140,0,39061,27584,64090,50683,87851,0,71564,39295,37808
2017-03-23,181602,0,0,196202,0,0,0,69188,0,36665,15033,0,51842,120231,0,75782,6900,109308
2017-03-24,185521,19323,0,136387,50199,17348,0,57059,0,38211,0,36988,25785,76640,0,58878,48534,69847
2017-03-25,113025,21953,0,202749,43516,24955,0,0,0,14463,40710,50149,0,0,0,75285,71781,46501
2017-03-26,130173,18516,0,185166,49606,21502,0,89827,0,0,0,52193,41054,34893,0,62638,47359,98045
2017-03-27,184491,39199,0,239011,0,0,0,79503,0,99876,0,57084,25000,62020,0,56794,63279,95690
2017-03-28,0,9900,0,161272,39018,15716,0,47812,0,53771,0,55168,19804,74659,0,85450,95381,58844
2017-03-29,143326,30788,0,168147,62765,75391,0,33727,0,47975,24585,55046,23101,97107,87508,48784,55832,91223
2017-03-30,173795,66879,0,0,0,51416,0,32119,0,0,27638,0,48051,90799,0,38591,54247,19792
2017-03-31,99110,58861,0,185210,92533,66231,0,54982,0,57600,0,87013,120685,81838,0,43757,0,8004
2017-04-01,118251,37176,0,245962,68541,95217,0,52525,0,32275,50613,0,77080,150679,0,36507,60000,0
2017-04-02,122947,71045,0,223259,34477,78118,25656,71527,0,1003,45346,0,0,51070,0,33810,65538,12994
2017-04-03,192329,26443,0,222699,42702,56514,17452,74390,0,53774,34420,72300,62301,40827,0,34983,68413,95670
2017-04-04,202758,41727,0,187661,0,64728,0,58079,0,77233,0,139877,35355,79970,0,36564,60436,45461
2017-04-05,180576,29472,0,218408,60512,83544,0,54626,55307,55725,0,77537,36308,81516,0,41006,90608,46089
2017-04-06,81838,46017,0,0,46245,688657,0,52071,64189,280327,0,0,42459,87685,0,33144,52471,42774
2017-04-07,71140,89272,0,215220,48745,455003,0,31603,17690,119475,0,201078,42371,57731,0,48322,0,25672
2017-04-08,105067,73926,0,186505,0,185078,608,44340,0,147459,0,119786,39390,74941,0,36652,41736,0
2017-04-09,0,42272,0,205884,51655,141264,0,0,0,167352,0,71878,0,40284,0,37575,67197,11322
2017-04-10,216933,65509,0,243451,48446,191052,44213,110188,43362,0,0,0,42568,43409,0,59256,62618,69690
2017-04-11,178448,29431,0,199576,47296,171597,65529,40977,57745,0,15356,0,0,119961,0,56574,65949,53714
2017-04-12,172908,41203,0,201724,49427,169195,0,50842,59232,0,0,104267,0,102178,0,48432,57331,47231
2017-04-13,170595,64090,0,0,0,162858,0,51867,26590,16177,23930,105258,66648,123934,121064,47068,50271,72819
